"","time","amo","amoNorm","amoInt","amoDInt"
"198",1989-06-15,0.26,0.0677840406879115,-0.554845545918366,-0.369314507485183
"199",1989-07-15,0.4,0.46400286852827,-0.521827310265003,-0.404101577191404
"200",1989-08-15,0.3,0.180989420070871,-0.472299956784958,-0.427489494112537
"201",1989-09-15,0.09,-0.413338821689667,-0.443998611939218,-0.441443629418422
"202",1989-10-15,0.03,-0.583146890764106,-0.43220638492016,-0.450287799682716
"203",1989-11-15,0.04,-0.554845545918366,-0.436923275727783,-0.458149284362088
"204",1989-12-15,0,-0.668050925301326,-0.434564830323972,-0.461293878233837
"205",1990-01-15,-0.08,-0.894461684067245,-0.455790838958277,-0.465421157690508
"206",1990-02-15,0.02,-0.611448235609846,-0.47465840218877,-0.47328264236988
"207",1990-03-15,0.06,-0.498242856226887,-0.443998611939218,-0.475837624890676
"208",1990-04-15,0.1,-0.385037476843927,-0.382679031440115,-0.466796917509398
"209",1990-05-15,0.08,-0.441640166535407,-0.36145302280581,-0.451270485267638
"210",1990-06-15,0.05,-0.526544201072626,-0.410980376285855,-0.439281721131595
"211",1990-07-15,0.05,-0.526544201072626,-0.493525965419263,-0.436923275727783
"212",1990-08-15,0.18,-0.158626718078008,-0.521827310265003,-0.441050555184454
"213",1990-09-15,0.33,0.265893454608091,-0.465224620573523,-0.442819389237313
"214",1990-10-15,0.33,0.265893454608091,-0.394471258459174,-0.439674795365564
"215",1990-11-15,0.13,-0.300133442306707,-0.373245249824869,-0.434368293206987
"216",1990-12-15,0.08,-0.441640166535407,-0.354377686594375,-0.427686031229521
"217",1991-01-15,0.01,-0.639749580455586,-0.33315167796007,-0.417466101146337
"218",1991-02-15,0.04,-0.554845545918366,-0.328434787152447,-0.40528079989331
"219",1991-03-15,0.01,-0.639749580455586,-0.340227014171505,-0.396633166746001
"220",1991-04-15,-0.05,-0.809557649530026,-0.37560369522868,-0.396043555395048
"221",1991-05-15,-0.12,-1.0076670634502,-0.422772603304913,-0.40115352043664
"222",1991-06-15,-0.06,-0.837858994375765,-0.448715502746842,-0.404298114308389
"223",1991-07-15,-0.09,-0.922763028912985,-0.481733738400205,-0.403315428723467
"224",1991-08-15,-0.02,-0.724653614992806,-0.528902646476438,-0.40390504007442
"225",1991-09-15,0.06,-0.498242856226887,-0.592580672379353,-0.414518044391573
"226",1991-10-15,-0.13,-1.03596840829594,-0.701069160954689,-0.440067869599532
"227",1991-11-15,-0.14,-1.06426975314168,-0.764747186857604,-0.472693031018927
"228",1991-12-15,-0.06,-0.837858994375765,-0.797765422510967,-0.509642009011976
"229",1992-01-15,-0.01,-0.696352270147066,-0.80248231331859,-0.548752895291853
"230",1992-02-15,0.04,-0.554845545918366,-0.80248231331859,-0.588256855805698
"231",1992-03-15,0,-0.668050925301326,-0.804840758722402,-0.626974667851606
"232",1992-04-15,-0.08,-0.894461684067245,-0.811916094933837,-0.663334034493703
"233",1992-05-15,-0.18,-1.17747513252464,-0.826066767356707,-0.696941881498019
"234",1992-06-15,-0.1,-0.951064373758725,-0.835500548971954,-0.729173968683445
"235",1992-07-15,-0.24,-1.34728320159908,-0.870877230029129,-0.761602592985855
"236",1992-08-15,-0.38,-1.74350202943944,-0.955781264566348,-0.797175811160014
"237",1992-09-15,-0.33,-1.60199530521074,-1.047760635315,-0.835107474737985
"238",1992-10-15,-0.26,-1.40388589129056,-1.07842042556455,-0.866553413455474
"239",1992-11-15,-0.28,-1.46048858098204,-1.11143866121792,-0.895444369652167
"240",1992-12-15,-0.1,-0.951064373758725,-1.12087244283316,-0.922369954679016
"241",1993-01-15,0,-0.668050925301326,-1.11851399742935,-0.948705928354913
"242",1993-02-15,-0.04,-0.781256304684286,-1.13738156065985,-0.976614198966685
"243",1993-03-15,-0.16,-1.12087244283316,-1.17511668712083,-1.00747052633322
"244",1993-04-15,-0.04,-0.781256304684286,-1.16568290550559,-1.03695109388087
"245",1993-05-15,-0.08,-0.894461684067245,-1.14209845146747,-1.06328706755676
"246",1993-06-15,-0.19,-1.20577647737038,-1.16332446010177,-1.09060572681758
"247",1993-07-15,-0.32,-1.573693960365,-1.18219202333227,-1.11654862625951
"248",1993-08-15,-0.14,-1.06426975314168,-1.12558933364079,-1.13069929868238
"249",1993-09-15,-0.09,-0.922763028912985,-1.06898664394931,-1.13246813273524
"250",1993-10-15,-0.16,-1.12087244283316,-1.04540218991119,-1.12971661309746
"251",1993-11-15,-0.17,-1.1491737876789,-1.01945929046926,-1.12205166553507
"252",1993-12-15,-0.15,-1.09257109798742,-1.03125151748832,-1.11458325508967
"253",1994-01-15,-0.2,-1.23407782221612,-1.07842042556455,-1.11124212410093
"254",1994-02-15,-0.22,-1.2906805119076,-1.12087244283316,-1.10986636428204
"255",1994-03-15,-0.17,-1.1491737876789,-1.12323088823698,-1.10554254770839
"256",1994-04-15,-0.03,-0.752954959838546,-1.12087244283316,-1.10180834248569
"257",1994-05-15,-0.12,-1.0076670634502,-1.13030622444841,-1.10082565690077
"258",1994-06-15,-0.13,-1.03596840829594,-1.11615555202554,-1.09689491456108
"259",1994-07-15,-0.17,-1.1491737876789,-1.08077887096837,-1.08844381853075
"260",1994-08-15,-0.22,-1.2906805119076,-1.09964643419886,-1.08628191024393
