,time,ao,aoNorm,aoInt,aoDInt
362,15-02-03,0.1278,0.115685373,-0.188129894,0.249759735
363,15-03-03,0.933,0.908593738,-0.185585996,0.201522781
364,15-04-03,-0.1781,-0.185544966,-0.26161572,0.148027753
365,15-05-03,1.0167,0.991016031,-0.211123449,0.099086439
366,15-06-03,-0.1021,-0.11070513,-0.266498363,0.04150955
367,15-07-03,0.0753,0.063986802,-0.287202409,-0.02024494
368,15-08-03,-0.2804,-0.286283324,-0.291461387,-0.077232357
369,15-09-03,0.4666,0.449313483,-0.249667606,-0.135276996
370,15-10-03,-0.6698,-0.669739008,-0.182484082,-0.172705803
371,15-11-03,0.6424,0.62242984,-0.012822503,-0.180652749
372,15-12-03,0.2652,0.250987918,0.139589808,-0.174054343
373,15-01-04,-1.6858,-1.670229444,0.039959276,-0.16308686
374,15-02-04,-1.5285,-1.515330679,-0.095958728,-0.15540593
375,15-03-04,0.3181,0.303080383,-0.146418174,-0.152141945
376,15-04-04,-0.4094,-0.413314097,-0.165398935,-0.144123879
377,15-05-04,-0.0943,-0.103024199,-0.256568955,-0.147911005
378,15-06-04,-0.2359,-0.24246263,-0.267548746,-0.147998537
379,15-07-04,-0.2005,-0.207603023,-0.290181232,-0.148246772
380,15-08-04,-0.7202,-0.719369636,-0.326271758,-0.151147636
381,15-09-04,0.855,0.831784433,-0.294399179,-0.154875267
382,15-10-04,-0.5154,-0.517695974,-0.281728926,-0.163145671
383,15-11-04,0.6783,0.657781815,-0.278782928,-0.18530904
384,15-12-04,1.2301,1.201158412,-0.199602053,-0.213575028
385,15-01-05,0.3562,0.340598774,-0.032033035,-0.219574387
386,15-02-05,-1.2706,-1.261367605,-0.010869446,-0.212483614
387,15-03-05,-1.3479,-1.337487595,-0.147583444,-0.21258072
388,15-04-05,-0.0462,-0.055658461,-0.117778807,-0.208612376
389,15-05-05,-0.7634,-0.761910174,-0.172685972,-0.201622127
390,15-06-05,-0.3832,-0.387514049,-0.18477359,-0.194724197
391,15-07-05,-0.0302,-0.039902706,-0.170798564,-0.184775642
392,15-08-05,0.0261,0.015537856,-0.109556273,-0.166716018
393,15-09-05,0.8024,0.779987389,-0.113872693,-0.151672144
394,15-10-05,0.0298,0.019181374,-0.069132914,-0.13395581
395,15-11-05,0.2277,0.214060368,-0.106109701,-0.119566374
